,Date,Price,SMA10,SMA20,SMA50,SMA100,SMA200,EMA13,EMA25,RSI,UBB,LBB,ATR,CE,TSI
3729,2014-10-29,294.12,302.092997,308.5725005,322.4765994,326.9014604,333.8738553,302.95074018665474,309.4130544422965,34.23355645262288,329.8674332520831,297.9250341239584,9.023424999999987,291.909735,-25.635547201075504
3730,2014-10-30,299.07001,301.71399899999994,307.605501,321.7423996,326.5680605,333.38985535,302.3963501599898,308.617435639043,40.988879750988794,328.7755962586171,297.0204533706915,9.094139999999985,291.69759000000005,-24.21835506974648
3731,2014-10-31,305.45999,301.89599699999997,306.74150099999997,321.19339940000003,326.2706603,332.93815534999993,302.83401299427703,308.37455520527044,49.29091780026803,326.685855025717,296.7693239871415,8.874138571428558,292.3575942857143,-21.14261836707624
3732,2014-11-03,305.72,301.846998,305.9175005,320.6759994,326.0687603,332.4687054,303.2462968522375,308.1703586510189,48.10145084341032,324.48708740949894,296.6327070452506,8.751283571428562,292.7261592857143,-18.69094058223093
3733,2014-11-04,302.81,300.59499900000003,305.209,320.05179960000004,325.8341604,331.94750545000005,303.1839687304893,307.7580233701713,47.702819919400945,323.06914901923875,296.27892549038063,8.489996428571422,293.5100207142857,-17.35419605465618
3734,2014-11-05,296.51999,298.949998,303.89999900000004,319.1455996,325.52316030000003,331.40740535,302.23197176899083,306.89355926477356,45.59477365057635,320.125204704963,295.78739614751856,8.26499499999999,294.185025,-17.59623564166242
3735,2014-11-06,296.64001,297.296,302.9634995,318.21479999999997,325.23336040000004,330.89125540000003,301.43312008770647,306.10482470594485,45.09116271841871,318.5507957232565,295.1698513883718,8.138564999999991,294.564315,-17.752679248978996
3736,2014-11-07,299.85999,298.575999,302.3869985,317.4116,324.88816030000004,330.4525553,301.20838721803415,305.6244528054876,45.58721211597277,317.5079612291652,294.8265171354174,8.080705714285708,294.73789285714287,-16.920444767302413
3737,2014-11-10,305.10999,300.08999800000004,302.3199975,316.7329996,324.6692602,330.04670525,301.76575904402927,305.584878743527,42.49412235432498,317.37689679916537,294.7915478504173,7.831348571428565,295.4859642857143,-14.696242414611364
3738,2014-11-11,312.01001,301.731999,302.504998,316.1255998,324.5473602,329.6346053500001,303.2292234663108,306.07911960940953,49.339032038139344,317.9575075015247,294.77874324923766,8.002348571428566,292.79294428571427,-10.932608009460003
3739,2014-11-12,311.51001,303.471,302.7819985,315.57579999999996,324.3900604,329.2711553500001,304.4121929711236,306.49688040868574,48.85476646419796,318.6880030181223,294.82899624093886,7.88734714285714,288.9179485714286,-8.05573802388463
3740,2014-11-13,316.48001,305.212,303.4629995,314.9864,324.3132605,328.83850535,306.13616683239167,307.2648134541715,78.41962224519577,320.5085041882103,294.9402471558949,6.258776428571427,299.11368071428575,-4.379415633275135
3741,2014-11-14,327.82001,307.448002,304.6719995,314.6152002,324.3170606,328.6841554,309.2338587134786,308.8459824192352,81.44209265222165,324.9028141967105,294.5565921516448,7.050132142857142,311.7296035714286,1.4831770824146167
3742,2014-11-17,323.04999,309.18100100000004,305.5139995,314.2294,324.2906605,328.5686554,311.2075917544102,309.93859838698637,73.13782175781785,327.3522262001311,294.59488614993444,7.173704285714288,311.35888714285716,4.792347741398512
3743,2014-11-18,324.92999,311.393,305.9939995,314.1329998,324.2942603,328.4535553,313.167934360923,311.0917823572182,75.78239683481429,329.124442908406,294.4287777957969,7.171570000000007,311.36528999999996,7.813321462610194
3744,2014-11-19,326.54001,314.39500200000003,306.6725,314.03720020000003,324.3118604,328.3540053,315.0782308807912,312.2801075605091,74.34849386793766,331.40517352777704,294.3061632361115,6.957284285714293,312.0081471428571,10.575239502289113
3745,2014-11-20,330.54001,317.78500199999996,307.540501,314.0376006,324.2933604,328.23375534999997,317.2870564692496,313.68471544047,73.21360871735097,334.3648477845325,294.12832760773375,7.149429285714291,311.4317121428571,13.674777948374578
3746,2014-11-21,332.63,321.062003,309.819001,314.0664006,324.2911603,328.0915054,319.4789055450711,315.1420450219723,74.09129014364525,337.0569091847729,296.20004690761357,7.365140714285717,316.23456785714285,16.61676416634183
3747,2014-11-24,335.64001,324.115005,312.1025015,314.30140059999997,324.2726404,327.96535545,321.7876347529181,316.7188115587437,79.33866749407102,339.98381565482464,298.1618444225877,7.308713571428574,316.4038492857143,19.63276181873437
3748,2014-11-25,335.04001,326.418005,314.075002,314.44700059999997,324.2875406,327.83160545,323.68083121678694,318.12813451576346,88.32070634217298,342.6117664726667,299.8066197636666,6.966748571428577,317.42974428571426,21.902741649679186
3749,2014-11-26,333.57001,328.624005,316.0475025,314.6384008,324.3851407,327.7532055,325.09357104296026,319.315971091474,85.77792228023844,344.2280705300234,301.9572184849883,6.865321428571434,317.73402571428574,23.296044736091083
3750,2014-11-28,338.64001,330.840005,318.0260025,314.911201,324.47184080000005,327.66040549999997,327.0287766082517,320.8024356228991,86.27008649073716,346.7390395807415,303.66948395962925,7.150322857142863,319.80904142857145,25.489893050625383
3751,2014-12-01,326.0,330.658004,319.05300300000005,314.8048008,324.4526407,327.50365545,326.8818085213586,321.2022482672915,67.16514870073277,347.3397610432594,304.9096239783704,7.776822857142865,317.92954142857144,22.998157642144424
3752,2014-12-02,326.31,330.984005,320.082503,314.8410008,324.25374059999996,327.3669555,326.80012158973597,321.59515224673066,63.17727315031958,347.81948520711643,306.2140118964417,7.487250714285722,318.79825785714286,21.10896701069572
3753,2014-12-03,316.5,330.141006,320.767003,314.6984008,323.8655405,327.2125555,325.32867564834515,321.2032174585206,53.924796346707275,347.36138320239377,307.4698128988031,8.102966428571436,316.95111071428573,16.499634678916397
3754,2014-12-04,316.92999,329.180004,321.787503,314.4728008,323.4904404,327.0482055,324.1288634128673,320.87450765401906,50.381144922144706,345.91639658381246,309.7230562080938,8.012966428571433,317.2211107142857,13.001588643950793
3755,2014-12-05,312.63,327.389003,322.58700250000004,314.286801,323.0577405,326.87755545,322.4861686396006,320.24031475755606,35.39142023961132,344.1283757617024,311.81631586914887,7.2708942857142915,319.44732714285715,8.961778983869694
3756,2014-12-08,306.64001,324.790004,322.92600350000004,313.9554014,322.5996005,326.6518555,320.22243169108623,319.1941374685133,34.57998496523213,343.13354330473527,312.8222335976324,7.397250714285718,319.06825785714284,4.079953117367555
3757,2014-12-09,312.5,322.476003,323.295504,313.76900120000005,322.13800050000003,326.42275545,319.1192271637882,318.6792038170892,39.13272235228579,342.36986131479705,313.75832534260144,7.825035714285714,317.78490285714287,1.7305829275452977
3758,2014-12-10,305.84,319.55600200000003,322.9870035,313.4370012,321.5988004,326.1529555,317.2221947118185,317.69157275423623,33.37080657333219,343.0060815166247,312.97746449168767,8.12003642857143,316.89990071428576,-1.8219610238979174
3759,2014-12-11,307.35999,316.935,322.7795025,313.2350012,321.06400030000003,325.88910545,315.81330832441586,316.896835619295,30.605726643725987,343.37713951240215,312.4806839937989,7.938607142857149,317.4441885714286,-4.192380429097246
3760,2014-12-12,307.32001,313.803,322.3215025,313.0132014,320.5558003,325.61520545,314.59997999235645,316.1601567255031,28.07138110499143,343.89324138240056,311.53563305879976,7.927171428571431,317.4784957142857,-6.08745369512904
3761,2014-12-15,306.07001,311.81000099999994,321.2340025,312.6798018,320.0304005,325.3466555,313.3814128505913,315.38399159277213,23.574591858364784,343.8082724885453,309.9468675057273,8.20931357142857,316.6320692857143,-7.928042725211508
3762,2014-12-16,295.06,308.68500099999994,319.834503,312.1370016,319.74090040000004,325.00245555,310.7640681576497,313.82060762409736,19.876401353527214,345.2290632565407,307.13722287172965,8.638421428571425,315.34474571428575,-12.02647636507957
3763,2014-12-17,298.88,306.923001,318.53200350000003,311.7750014,319.52560040000003,324.63500555,309.06634413512836,312.67133011455144,24.75619615499643,345.4525284018955,305.0717410490523,8.877707142857142,314.6268885714286,-14.13120231546508
3764,2014-12-18,297.73001,305.00300300000004,317.0915035,311.2756014,319.3029005,324.2628556,307.44686783011,311.5219977980475,18.428740634734297,345.26199422004805,303.00625813997596,9.131992857142857,313.2440314285715,-16.055162094779284
3765,2014-12-19,299.89999,303.730002,315.5595025,310.9662012,319.0768003,323.90205555,306.3687424258086,310.6279971981977,25.975650548758253,343.9820060685667,301.34825071571663,8.511278571428566,302.39615428571426,-16.93922989397931
3766,2014-12-22,306.54001,303.720002,314.255003,310.86920119999996,319.01230050000004,323.58210560000003,306.39320922212164,310.3135366444902,33.70155579734384,341.75868256014803,300.50316321992597,8.70985071428571,300.6404378571429,-15.60781490232175
3767,2014-12-23,306.285,303.098502,312.78725249999997,310.865901,319.0045505,323.26943055,306.37775076181856,310.0036492102987,40.00390253907725,338.5647026300108,299.89852743499455,8.126134999999993,294.211595,-14.598502749206723
3768,2014-12-24,303.03,302.817502,311.186752,310.760301,318.89835059999996,322.9313805,305.89950065298734,309.46721465566037,37.11053144522573,335.05062985670907,299.2548130716455,8.055063571428567,292.7647992857143,-14.528057587951176
3769,2014-12-26,309.09,302.990503,309.9627515,310.822701,318.8660505,322.61928045,306.3552862739892,309.4381981436865,46.82111840597585,331.3783127432918,299.25497087835413,8.173629285714282,292.03911214285716,-12.601049704561978
3770,2014-12-29,312.04001,303.462503,308.6327515,311.0063014,318.8475505,322.31078055,307.1673896634193,309.6383375172491,55.129181280084055,325.3346366680038,300.28180891599806,7.88441571428571,290.61674285714287,-10.160787845630697
3771,2014-12-30,310.29999,303.88550100000003,307.84775099999996,311.139501,318.8360503,321.98708045,307.6149039972166,309.6892338620761,47.732883814327316,322.4574842144651,300.54288439276735,7.320201428571429,292.3093857142857,-8.625211623706997
3772,2014-12-31,310.35001,305.41450199999997,307.0497515,311.2223014,318.7715505,321.64498055,308.0056334261856,309.7400627957626,55.38058550661979,318.8955239616698,301.12686526916514,6.924486428571425,293.4965307142857,-7.356787559119894
3773,2015-01-02,308.51999,306.378501,306.650751,311.0861014,318.6734505,321.32143045,308.07911293673055,309.6462110422424,51.37375456122045,317.6646314416589,301.14381077917056,6.995192142857137,293.7644235714286,-6.794948700645175
3774,2015-01-05,302.19,306.8245,305.9137515,310.87050139999997,318.5021504,320.98753045,307.2378110886262,309.0726563466853,44.71242774953735,315.9617793360836,300.8897375819582,6.998056428571426,293.7558307142857,-8.040317153560741
3775,2015-01-06,295.29001,306.363502,305.04675199999997,310.5127018,318.1922505,320.6608805,305.5309823616796,308.0124527815557,40.04801693351151,315.63269827458555,299.7537788627072,7.134485,293.346545,-10.867841532836021
3776,2015-01-07,298.42001,305.551502,304.63575199999997,310.73990200000003,317.8443507,320.3937305,304.515129167154,307.27457256758987,53.63008466931214,315.5930139177753,299.1571210411123,6.772341428571427,294.4329757142857,-12.103580884907348
3777,2015-01-08,300.45999,304.969001,304.0337515,310.9497018,317.5126506,320.1224805,303.9358235718463,306.75037390854453,51.77526846611116,314.4829775718209,298.80913846408953,6.800199285714285,294.3494021428571,-12.423428476051255
3778,2015-01-09,296.92999,304.35900000000004,303.588251,310.9765016,317.1366505,319.89008045,302.9349902044397,305.9949597617334,49.146737076162886,314.46426542112283,298.1502437894386,6.43877142857143,295.43368571428573,-13.584456200091982
3779,2015-01-12,291.41,302.591,302.79075150000006,310.92230159999997,316.6994505,319.65478045,301.28856303237694,304.8730397800616,41.548893540818725,314.78399696133437,296.79412876933293,6.667984285714291,294.74604714285715,-15.90319164537366
