,Date,Price,SMA10,SMA20,SMA50,SMA100,SMA200,EMA12,EMA26,RSI,UBB,LBB
1536,2006-02-13,37.86,39.788,42.039,42.039,44.828109999999995,44.828109999999995,40.019025725282006,40.019025725282006,23.809523809523782,48.14934980478483,38.983825097607586
1537,2006-02-14,38.25,39.131,41.7515,41.7515,44.798109999999994,44.798109999999994,39.746867921392464,39.746867921392464,27.195225916453523,48.012585411197286,38.62095729440136
1538,2006-02-15,39.26,38.659000000000006,41.4985,41.4985,44.76991,44.76991,39.67196516425516,39.67196516425516,26.758147512864483,47.731449035906046,38.38202548204698
1539,2006-02-16,39.15,38.3,41.2335,41.2335,44.73951,44.73951,39.59166283129283,39.59166283129283,22.974176313446122,47.38826631733846,38.15611684133077
1540,2006-02-17,39.19,38.385999999999996,40.997,40.997,44.698010000000004,44.698010000000004,39.529868549555474,39.529868549555474,23.7965485921889,47.08020241147199,37.955398794264006
1541,2006-02-21,38.29,38.42,40.725,40.725,44.64930999999999,44.64930999999999,39.33911954193155,39.33911954193155,22.25998300764654,46.78008572671649,37.69745713664175
1542,2006-02-22,38.72,38.54,40.46,40.46,44.60281,44.60281,39.24387038163439,39.24387038163439,26.848591549295776,46.37007703218043,37.50496148390978
1543,2006-02-23,37.9,38.513,40.175,40.175,44.53391,44.53391,39.03712109215218,39.03712109215218,27.879341864716622,45.99659862291334,37.264200688543326
1544,2006-02-24,38.35,38.549,39.8585,39.8585,44.46441,44.46441,38.931410154897996,38.931410154897996,50.143266475644715,45.32638624607265,37.12455687696367
1545,2006-02-27,38.01,38.498000000000005,39.498000000000005,39.498000000000005,44.384409999999995,44.384409999999995,38.78965474645215,38.78965474645215,50.432276657060484,44.39883816676621,37.0475809166169
1546,2006-02-28,37.44,38.456,39.122,39.122,44.30951,44.30951,38.58201555469028,38.58201555469028,49.43502824858753,43.36863135846836,36.99868432076582
1547,2006-03-01,37.12,38.342999999999996,38.736999999999995,38.736999999999995,44.23581,44.23581,38.357090084737926,38.357090084737926,42.2222222222222,42.116106702259174,37.047446648870405
1548,2006-03-02,36.88,38.105000000000004,38.382,38.382,44.16451,44.16451,38.12984545631671,38.12984545631671,41.85022026431719,40.795825092863375,37.17508745356831
1549,2006-03-03,37.21,37.911,38.1055,38.1055,44.09941,44.09941,37.988330770729526,37.988330770729526,40.090771558245066,39.44545247362295,37.43552376318852
1550,2006-03-06,36.86,37.678000000000004,38.032,38.032,44.03041,44.03041,37.81474142138652,37.81474142138652,42.063492063492056,39.47723318096344,37.309383409518276
