PERMNO,date,BIDLO,ASKHI,PRC,vwretd
84788,2001-07-03,14.00000,14.50000,14.13000,-0.001734
84788,2001-07-05,14.20000,15.45000,15.27000,-0.012098
84788,2001-07-06,14.80000,15.72000,15.27000,-0.022162
84788,2001-07-09,15.11000,15.90000,15.81000,0.005712
84788,2001-07-10,14.82000,16.12000,15.61000,-0.014251
84788,2001-07-11,14.95000,15.80000,15.34000,-0.002280
84788,2001-07-12,15.70000,16.54000,16.49000,0.023558
84788,2001-07-13,16.10000,17.00000,16.98000,0.005369
84788,2001-07-16,16.01000,17.42000,16.01000,-0.011623
84788,2001-07-17,15.83000,16.49000,16.35000,0.010631
84788,2001-07-18,15.88000,16.65000,15.96000,-0.006847
84788,2001-07-19,16.14000,16.80000,16.49000,0.005146
84788,2001-07-20,16.45000,17.25000,16.98000,-0.002910
84788,2001-07-23,15.96000,17.13000,16.03000,-0.014650
84788,2001-07-24,11.90000,14.00000,12.06000,-0.016244
84788,2001-07-25,11.07000,12.31000,11.51000,0.013667
84788,2001-07-26,11.23000,12.75000,12.33000,0.011500
84788,2001-07-27,11.70000,12.43000,12.25000,0.003303
84788,2001-07-30,11.98000,12.75000,12.55000,-0.001179
84788,2001-07-31,12.23000,12.86000,12.49000,0.004891
84788,2001-08-01,12.17000,12.86000,12.50000,0.005035
84788,2001-08-02,12.10000,12.60000,12.19000,0.003220
84788,2001-08-03,12.11000,12.39000,12.15000,-0.004627
84788,2001-08-06,11.85000,12.20000,11.90000,-0.011012
84788,2001-08-07,11.52000,11.90000,11.60000,0.002247
84788,2001-08-08,11.03000,11.55000,11.11000,-0.016731
84788,2001-08-09,10.25000,11.17000,10.46000,-0.000140
84788,2001-08-10,9.94000,10.65000,9.95000,0.004280
84788,2001-08-13,9.77000,10.30000,10.12000,0.002332
84788,2001-08-14,10.27000,11.04000,10.53000,-0.002438
84788,2001-08-15,10.00000,10.83000,10.08000,-0.006807
84788,2001-08-16,9.40000,10.15000,9.81000,0.001920
84788,2001-08-17,9.45000,10.09000,9.99000,-0.015924
84788,2001-08-20,9.95000,10.41000,10.40000,0.006837
84788,2001-08-21,9.88000,10.79000,9.89000,-0.011467
84788,2001-08-22,9.58800,10.23000,10.20000,0.007436
84788,2001-08-23,9.57000,10.16000,9.63000,-0.002763
84788,2001-08-24,9.72000,10.30000,10.23000,0.018219
84788,2001-08-27,9.91000,10.27000,10.13000,-0.003691
84788,2001-08-28,9.56000,10.15000,9.97000,-0.014374
84788,2001-08-29,9.01000,10.05000,9.19000,-0.009583
84788,2001-08-30,8.55000,9.49000,8.69000,-0.015525
84788,2001-08-31,8.69000,9.30000,8.94000,0.004058
84788,2001-09-04,8.52000,9.19000,8.59000,-0.001656
84788,2001-09-05,6.85000,8.68000,7.65000,-0.003236
84788,2001-09-06,7.67000,8.19000,8.15000,-0.020698
84788,2001-09-07,7.85000,8.61000,8.51000,-0.017764
84788,2001-09-10,8.06000,8.65000,8.63000,0.003516
84788,2001-09-17,7.05000,8.05000,7.49000,-0.050716
84788,2001-09-18,7.25000,7.75000,7.29000,-0.008315
84788,2001-09-19,6.64000,7.45000,7.31000,-0.017086
84788,2001-09-20,7.05000,7.64000,7.48000,-0.030611
84788,2001-09-21,6.69000,7.72000,7.48000,-0.018585
84788,2001-09-24,7.34000,7.83000,7.46000,0.037719
84788,2001-09-25,7.02000,7.56900,7.09000,0.007584
84788,2001-09-26,6.00000,7.23000,6.35000,-0.006027
84788,2001-09-27,5.67000,6.64000,6.20000,0.010694
84788,2001-09-28,5.83000,6.47000,5.97000,0.022772
84788,2001-10-01,5.51000,6.10000,6.01000,-0.004418
84788,2001-10-02,5.95000,6.17000,6.08000,0.011549
84788,2001-10-03,6.02000,7.21000,6.76000,0.022146
84788,2001-10-04,6.68000,7.87000,7.04000,-0.000280
84788,2001-10-05,6.74000,7.90000,7.20000,0.000404
84788,2001-10-08,6.91000,7.30000,7.12000,-0.007684
84788,2001-10-09,6.67000,7.12000,6.91000,-0.004786
84788,2001-10-10,6.80000,7.31000,7.26000,0.023138
84788,2001-10-11,7.50000,8.16000,7.85000,0.017246
84788,2001-10-12,7.47000,8.15000,8.07000,-0.005431
84788,2001-10-15,8.23000,9.20000,8.88000,-0.000767
84788,2001-10-16,9.11000,9.75000,9.56000,0.007835
84788,2001-10-17,8.85000,9.99000,8.92000,-0.019319
84788,2001-10-18,8.38000,9.23000,8.47000,-0.007065
84788,2001-10-19,7.50000,8.52000,8.01000,0.004919
84788,2001-10-22,8.04000,8.83000,8.77000,0.014523
84788,2001-10-23,8.85000,9.60000,9.55000,-0.004389
84788,2001-10-24,7.40000,8.15000,7.64000,0.001022
84788,2001-10-25,7.15000,7.78000,7.77000,0.013791
